"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
1260,wc_order_5c564850bcf28,"Order - February 3, 2019 @ 12:48 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1262,wc_order_5c56654bbed18,"Order - February 3, 2019 @ 02:51 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1265,wc_order_5c56739bafed6,"Order - February 3, 2019 @ 03:52 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1267,wc_order_5c56a12e785c1,"Order - February 3, 2019 @ 07:07 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1269,wc_order_5c56b7addadc5,"Order - February 3, 2019 @ 08:43 PM",49.95,,wc-pending,,,,0,,,0,,,,,
1277,wc_order_5c5744aaa613f,"Order - February 4, 2019 @ 06:44 AM",49.95,,wc-cancelled,,,,0,,,0,,,,,
1281,wc_order_5c578974b7842,"Order - February 4, 2019 @ 11:38 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1289,wc_order_5c57cd2b0a33c,"Order - February 4, 2019 @ 04:27 PM",159.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1291,wc_order_5c57d741cc830,"Order - February 4, 2019 @ 05:10 PM",99.95,2019-03-27,wc-scripted,,,,0,,,0,,,,,
1293,wc_order_5c57da69997b8,"Order - February 4, 2019 @ 05:23 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1297,wc_order_5c57e1b8138d5,"Order - February 4, 2019 @ 05:54 PM",159.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1299,wc_order_5c57e28e2007e,"Order - February 4, 2019 @ 05:58 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1303,wc_order_5c5844dcc61bc,"Order - February 5, 2019 @ 12:57 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1305,wc_order_5c588f5526633,"Order - February 5, 2019 @ 06:15 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1308,wc_order_5c58dc6cb824d,"Order - February 5, 2019 @ 11:44 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1333,wc_order_5c597937a4dde,"Order - February 5, 2019 @ 10:53 PM",519.90,2019-03-27,wc-completed,,,,0,,,0,,,,,
1335,wc_order_5c597a979d4e5,"Order - February 5, 2019 @ 10:59 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
